month,ls_intensity,retail_sales,retail_yoy_pct
2022-04,440.6565444444444,92258.0,4.6020929942516275
2022-05,428.6295228494624,96545.0,-0.05693581780538137
2022-06,667.4217361111112,92610.0,-2.2296826502818723
2022-07,1347.5448306451613,90655.0,8.8465186643774
2022-08,173.196751344086,92283.0,1.874482530220245
2022-09,2143.3320319444447,91462.0,-0.7681458175111233
2022-10,1284.6286545698924,92181.0,-1.504450309331229
2022-11,1426.9612722222223,107583.0,0.22451603286690602
2022-12,2622.922541666667,127315.0,-1.9114610619741734
2023-01,2790.867991935484,89196.0,-2.5978705978705996
2023-02,3213.422026785714,90366.0,-2.2520768431983362
2023-03,2035.854141129032,93550.0,-1.8393964513184313
2023-04,2737.189876388889,89579.0,-2.9038132194498023
2023-05,2744.621184139785,93359.0,-3.300015536796308
2023-06,989.0419833333333,90673.0,-2.091566785444332
2023-07,1994.19100672043,89568.0,-1.199051348519109
2023-08,1349.692315860215,90927.0,-1.469393062644253
2023-09,2094.3888319444445,92094.0,0.6909973540924153
2023-10,424.113563172043,89542.0,-2.862845922695567
2023-11,1691.9974277777778,105383.0,-2.044932749597983
2023-12,748.4756518817204,130770.0,2.7137415072850724
2024-01,929.3257043010753,87319.0,-2.1043544553567384
2024-02,1655.5844022988506,89587.0,-0.8620498860190784
2024-03,753.0719650537635,95426.0,2.005344735435588
2024-04,0.0,89987.0,0.45546389220687544
2024-05,0.0,94963.0,1.7180989513598144
2024-06,0.0,94174.0,3.8611273477220376
2024-07,0.0,90988.0,1.5853876384422927
2024-08,0.0,93952.0,3.3268446116115236
2024-09,0.0,93149.0,1.1455686581101965
2024-10,0.0,95283.0,6.411516383373161
2024-11,0.0,113828.0,8.013626486245418
2024-12,0.0,135406.0,3.5451556167316767
2025-01,16.57038709677419,93239.0,6.779738659398293
2025-02,365.85372767857143,93708.0,4.599997767533237
2025-03,128.31923252688173,97009.0,1.6588770356087412
2025-04,11.318919444444445,95554.0,6.186449153766649
2025-05,37.896415322580644,98774.0,4.013141960553068
2025-06,0.0,95753.0,1.6766835857030538
2025-07,0.0,96145.0,5.66778036664175
2025-08,0.0,96004.0,2.1840940054495883
2025-09,0.0,95934.0,2.989833492576399
2025-10,0.0,98115.0,2.972198608356158
2025-11,0.0,117907.0,3.583476824682852
2025-12,0.0,138834.0,2.5316455696202445
2026-01,0.0,97326.0,4.383358894883038
2026-02,0.0,95209.0,1.6017842660178472
2026-03,0.0,99422.0,2.48739807646714
2026-04,0.0,96764.0,1.2662996839483354
